WebLeads - https://webleads.site;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Name;Address;House Number;Road;Postcode;City;Country;Phone;Website;Decision Makers & Emails;Role Emails;Other Emails;Facebook;Instagram;TikTok;YouTube;Yelp;Twitter / X;LinkedIn;Pinterest;Other;Reviews;Rating;Missing Marketing Signals;Introduction;Book Visit;Menu;Temporary Closed;Average Money Spent;LGBTQ Friendly;Main Industry;Industries
Calcium+Company;601 Walnut St Suite 1075, Philadelphia, PA 19106, United States;601;walnut st;19106;philadelphia;united states;+1 215-238-8500;https://calciumco.com/;Judy Capano (ceo) judy.capano@calciumco.com, Greg Lewis (president) greg.lewis@calciumco.com, Don Feiler (chief technology officer) don.feiler@calciumco.com, Jim Hunter (chief finance officer) jim.hunter@calciumco.com, Sara Furgiuele (chief medical officer) sara.furgiuele@calciumco.com, Bruno Brasileiro (chief creative officer) bruno.brasileiro@calciumco.com, David Herman (partner) david.herman@calciumco.com, Steve Hamburg (partner) steve.hamburg@calciumco.com, Brad Quosig (vp) brad.quosig@calciumco.com;;;;https://www.instagram.com/calciumandcompany/;;;;;https://www.linkedin.com/company/calcium-company;;;0;0.0;;;;;No;None;No;Marketing agency;Marketing agency
Clarity Quest Marketing;1635 Market St #1600, Philadelphia, PA 19103, United States;1635;market st;19103;philadelphia;united states;+1 877-887-7611;http://clarityqst.com/;Lauren Maxam (manager);information@clarityqst.com;;https://www.facebook.com/clarityquestmarketing;https://www.instagram.com/clarityquest/;;https://www.youtube.com/user/clarityqst;;https://www.twitter.com/cqmarketing;https://www.linkedin.com/company/clarity-quest-marketing;https://www.pinterest.com/clarityquest/;;0;0.0;;;;;No;None;No;Marketing agency;Marketing agency
Clearbridge Branding Agency;2400 Market St No. 200, Philadelphia, PA 19103, United States;2400;market st;19103;philadelphia;united states;+1 215-701-3941;https://clearbridgebranding.com/;Sophia McDonough (founder) smcdonough@clearbridgebranding.com, Kevin Pustizzi (president) kpustizzi@clearbridgebranding.com, Ginevra Ziomek (partner) gziomek@clearbridgebranding.com, Sarah Pustizzi (partner) spustizzi@clearbridgebranding.com, Rebecca Kowalewicz (vice president) rkowalewicz@clearbridgebranding.com, Deb Racano (vice president) dracano@clearbridgebranding.com, Ginevra Ziomek (senior art director), Sarah Pustizzi (operations manager), Sophia Mcdonough (account executive), Mars Weinberg (coordinator) mweinberg@clearbridgebranding.com;;;https://www.facebook.com/clearbridgebrandingagency;https://www.instagram.com/clearbridgebrandingagency/;;;;;https://www.linkedin.com/company/clearbridgebranding;;;0;0.0;meta_pixel, google_ads, tiktok_pixel, +1 more;;;;No;None;No;Marketing agency;Marketing agency
Connection Model;2319 Gaul St, Philadelphia, PA 19125, United States;2319;gaul st;19125;philadelphia;united states;+1 206-400-7724;https://www.connectionmodel.com/;David Carpenter (president), Rick Shamberg (owner);inquiry@connectionmodel.com, alisteteam@connectionmodel.com;;https://www.facebook.com/connectionmodel;;;;;https://www.twitter.com/connectionmodel;;;;0;0.0;meta_pixel, google_ads, tiktok_pixel, +1 more;;;;No;None;No;Marketing agency;Marketing agency
Devoe Digital;510 S 5th St Suite 3, Philadelphia, PA 19147, United States;510;s 5th st;19147;philadelphia;united states;+1 754-300-4562;http://devoedigital.com/;Nicholas Devoe (owner), Anthony Cairone (partner), William Devoe (manager), Frederick Devoe (manager);;;https://www.facebook.com/devoedigital;https://www.instagram.com/devoedigital/;;https://www.youtube.com/channel/UCGjBYScj1S-P1Ccy0ioup4A;;;;;;0;0.0;;;;;No;None;No;Marketing agency;Marketing agency
DMi Partners;1 S Broad St 11th floor, Philadelphia, PA 19107, United States;1;s broad st;19107;philadelphia;united states;+1 215-279-9800;https://www.dmipartners.com/;Patrick Mckenna (ceo), Kristina Nolan (president), Zach Labenberg (chief growth officer), Amy Delphia (partner), Carrie Abel (partner), Alex Oman (partner), Brian McKenna (partner), David Lachowicz (partner), Amanda Armstrong (partner), Connor Bertoni (partner), Catie Miller (partner), Amanda Armstrong (general counsel), Kevin Dugan (vp), Brian Mckenna (vp), Alex Oman (senior director), David Lachowicz (senior director), Natalie Laro (senior director), Connor Bertoni (associate director), Carrie Abel (associate director), Emily Baver (associate director), Kalie Cedre (associate director), Elizabeth Hoover (director), Ellen Hoffman (director), Lauren Mcgrath (director), Rebecca Donahue (director), Sydney Garofolo (director), Catie Miller (director), Megan Neri (director), Amy Delphia (director), Art Dire (director);info@dmipartners.com;;https://www.facebook.com/dmipartners;https://www.instagram.com/dmi_partners/;;;;https://www.twitter.com/dmi_partners;https://www.linkedin.com/in/amanda-armstrong-b0384b44;;;7;4.4;meta_pixel, google_ads, tiktok_pixel, +1 more;;;;No;None;No;Marketing agency;Marketing agency
Finch Brands;123 S Broad St #2150, Philadelphia, PA 19109, United States;123;s broad st;19109;philadelphia;united states;+1 215-413-2686;http://finchbrands.com/;Daniel Erlbaum (chief executive officer), Bill Gullan (president), Lauren Collier (chief experience officer), John Ferreira (chief insights officer), Danielle Wilson (vp), Kristina Stephens (vp), Ariel DuChene (vp), Jenny Williams (vp), Devon Moyer (vp), Matt Worden (vp), Christina Latyn (vp), Blake Morin (vp), Kate Virzi (vp), Tammy Mann (creative director);info@finchbrands.com;;https://www.facebook.com/finchbrands;https://www.instagram.com/finchbrands/;;;;https://www.twitter.com/finchbrands;https://www.linkedin.com/in/tammy-mann;;;1;5.0;;;;;No;None;No;Marketing agency;Marketing agency
Group Two Advertising | Home Builder Marketing;One Penn Center, 1617 John F Kennedy Blvd #510, Philadelphia, PA 19103, United States;1617;john f kennedy blvd;19103;philadelphia;united states;+1 215-561-2200;https://www.grouptwo.com/;Daniel Gerson (chief operations officer), Brenna Ryan (partner), David Whaite (vice president), Katie Kolakowski (director), Dan Bridenstine (director), Alexis Udine (director);info@grouptwo.com;;https://www.facebook.com/grouptwoadvertising;https://www.instagram.com/grouptwoadvertising/;;https://www.youtube.com/user/GroupTwoAdvertising;;;https://www.linkedin.com/company/group-two-advertising;;;16;5.0;;;;;No;None;No;Marketing agency;Marketing agency
Helm Creative Studio;1600 N 5th St, Philadelphia, PA 19122, United States;1600;n 5th st;19122;philadelphia;united states;+1 215-253-8530;https://www.helmcreativestudio.com/;Ashlee Hollis (founder), Ashlee Hollis (founder), Matt Kee Aka (not be available to them. director), Sara Norcott (idea alchemist & campaign director), Diana Guerrero (graphic designer & client project manager), Bryan Barlow (coordinator), Eve Turner (coordinator), Diana Guerrero (coordinator);hello@helmcreativestudio.com;;;https://www.instagram.com/helmcreativestudio/;;https://www.youtube.com/channel/UC4Ff3oFfS4nTRgakCi5RSgQ;;;https://www.linkedin.com/company/helm-creative-studio;;;28;5.0;meta_pixel, google_ads, tiktok_pixel, +1 more;;;;No;None;No;Marketing agency;Marketing agency
Mako Direct Marketing;124 Chestnut St Suite 7, Philadelphia, PA 19106, United States;124;chestnut st;19106;philadelphia;united states;+1 484-693-0818;http://makodirectmarketing.com/;Angela Daisy (chief executive officer), Pete Delago (vice president), Sharon Foulke (vice president);;;;;;https://www.youtube.com/channel/UCf0XgbsnUS4tZ9hmy-iGtZQ;;;https://www.linkedin.com/company/makodirectmarketing;;;0;0.0;meta_pixel, google_ads, tiktok_pixel, +1 more;;;;No;None;No;Marketing agency;Marketing agency
MetaSense Digital Marketing Management Inc.;3675 Market St #200, Philadelphia, PA 19104, United States;3675;market st;19104;philadelphia;united states;+1 856-215-4010;https://www.metasensemarketing.com/grow.html;Dhwani Modi (partner) dmodi@metasensemarketing.com;support@metasensemarketing.com, info@metasensemarketing.com;;https://www.facebook.com/metasensemarketing;https://www.instagram.com/metasensemarketing/;;https://www.youtube.com/channel/UCebB4OKHeeC99A_hrgYmcmg;;https://www.twitter.com/metasense;https://www.linkedin.com/company/metasense;;;1;5.0;;;metasensemarketing.com;;No;None;Yes;Marketing agency;Marketing agency
Octo Design Group;836 South St 3rd floor, Philadelphia, PA 19147, United States;836;south st;19147;philadelphia;united states;+1 215-940-8280;http://www.octodesign.com/;Samantha Srolis (PMP) samantha@octodesign.com;info@octodesign.com;;;https://www.instagram.com/octodesigngroup/;;;;;https://www.linkedin.com/company/octo-design-group;;;0;0.0;;;;;No;None;No;Marketing agency;Marketing agency
Old City Media;2200 Arch St UNIT 202, Philadelphia, PA 19103, United States;2200;arch st;19103;philadelphia;united states;+1 267-939-0503;http://oldcitymedia.com/;Ray Sheehan (founder);info@oldcitymedia.com;;https://www.facebook.com/oldcitymediahq;https://www.instagram.com/old_city_media/;;;;;https://www.linkedin.com/in/geoffhazelwood;;;136;5.0;meta_pixel, google_ads, tiktok_pixel;;;;No;None;No;Marketing agency;Marketing agency
Penn Creative;4335 Pine St, Philadelphia, PA 19104, United States;4335;pine st;19104;philadelphia;united states;+1 215-550-1435;http://www.penn-creative.com/;Jenny Strauss (owner) jenny@penn-creative.com, Sierra Skidmore (owner) sierra@penn-creative.com, Lisa Hansell (development manager), Barbara A. Capozzi (real estate broker), Meg Gryziec (senior project manager) meg@penn-creative.com, Karyn Pless (marketing account manager) karyn@penn-creative.com, Sarah Barnett (lead project manager) sarah@penn-creative.com, Megan Bolin (coordinator) megan@penn-creative.com;info@penn-creative.com;;https://www.facebook.com/penncreativephilly;https://www.instagram.com/penn_creative/;;;;https://www.twitter.com/penn_creative;https://www.linkedin.com/in/karyn-pless-5287006;;;5;5.0;meta_pixel, google_ads, tiktok_pixel, +1 more;;;;No;None;No;Marketing agency;Marketing agency
Simple Marketing Now LLC;7354 Ridge Ave, Philadelphia, PA 19128, United States;7354;ridge ave;19128;philadelphia;united states;+1 973-283-2424;https://www.simplemarketingnow.com/about_us/christine_b_whittemore;Christine B. Whittemore (president) cbwhittemore@simplemarketingnow.com, Sarah B. Johnson (managing director), Sarah Kelly (managing director);info@simplemarketingnow.com;;https://www.facebook.com/simplemarketingnow;;;;;https://www.twitter.com/cbwhittemore;https://www.linkedin.com/company/simple-marketing-now;https://www.pinterest.com/cbwhittemore/;;0;0.0;;;;;No;None;No;Marketing agency;Marketing agency
Splat, Inc.;2118 South St, Philadelphia, PA 19146, United States;2118;south st;19146;philadelphia;united states;+1 215-546-0177;https://splatworld.tv/;David Hitt (founder) david@splatworld.tv, Felice Croul (felice croul art director), Art Dire (director);info@splatworld.tv;;https://www.facebook.com/splatworld;https://www.instagram.com/splatdigital/;;;;https://www.twitter.com/daaveey;https://www.linkedin.com/in/brian-mishico;;;29;4.7;;;;;No;None;Yes;Marketing agency;Marketing agency
SWELL;Hale Building, 100 S Juniper St 3rd Floor, Philadelphia, PA 19107, United States;100;s juniper st;19107;philadelphia;united states;+1 215-422-3477;https://swellstart.com/;Staci Katz (partner) staci@swellstart.com, Greg O'Loughlin (partner) greg@swellstart.com, Sam Walker (jr. art director) sam@swellstart.com;pr@swellstart.com;;https://www.facebook.com/swellphl;https://www.instagram.com/swellphl/;;;;;https://www.linkedin.com/company/2338545;;;2;4.5;meta_pixel, google_ads, tiktok_pixel, +1 more;;;;No;None;No;Marketing agency;Marketing agency
Trellist Marketing and Technology;4747 S Broad St Bldg. 101 | Suite 233, Philadelphia, PA 19112, United States;4747;s broad;19112;philadelphia;united states;+1 302-778-1300;https://www.trellist.com/;Jie Yang (ceo), David Atadan (ceo), Maria Gunther (chief executive officer), Melanie Schilling (chief financial officer), Lou Burtell (partner), Pat Toman (partner), Gavin Garrison (partner);info@trellist.com;;https://www.facebook.com/trellist;;;https://www.youtube.com/channel/UCKsQr1gBRV8yKaxDMvf7Knw;;https://www.twitter.com/trellist;https://www.linkedin.com/in/mariagunther;;;0;0.0;;;;;No;None;No;Marketing agency;Marketing agency
WebFX;325 Chestnut St Unit 800, Philadelphia, PA 19106, United States;325;chestnut st;19106;philadelphia;united states;+1 215-392-2875;https://www.webfx.com/free-quote/;David Miller (president), Bill Craig (president), Eloy Fortunato Gallard (head of), Heather Brown (director), Hamida Bapoo (project manager);sales@webfx.com;;https://www.facebook.com/webfxinc;https://www.instagram.com/webfx/;;https://www.youtube.com/channel/UCQPrlLwp_cv1fCupqSK66jg;;https://www.x.com/webfx;https://www.linkedin.com/company/webfxinc;;;7;4.4;google_ads, tiktok_pixel;;webfx.com;;No;None;No;Marketing agency;Marketing agency
Bennie Frank Marketing;2929 Arch St, Philadelphia, PA 19104, United States;2929;arch st;19104;philadelphia;united states;+1 484-250-9436;https://www.benniefrankmarketing.com/;Bennie Frank (partner);;;;https://www.instagram.com/benniefrankmktg/;;;;;https://www.linkedin.com/in/brian-honicky;;;0;0.0;google_ads, tiktok_pixel, linkedin_insight;;;;No;None;No;Marketing agency;Marketing agency
Growth Marketing;1611 E Eyre St, Philadelphia, PA 19125, United States;1611;e eyre st;19125;philadelphia;united states;+1 908-256-4822;https://www.growthmarketingonline.com/;Rishabh Dev (owner);;;;;;;;;;;;2;5.0;;;;;No;None;No;Marketing agency;Marketing agency
pharosIQ;1818 Market St 37th floor, Philadelphia, PA 19103, United States;1818;market st;19103;philadelphia;united states;+1 215-587-8800;https://pharosiq.com/;Lauren Tanaka (vp), Vanessa Parker (it security director), John Mitchell (marketing manager);;;;;;;;;https://www.linkedin.com/company/pharosiq;;;17;3.1;;;;;No;None;No;Marketing agency;Marketing agency
Units - Franchsie Marketing Agency;1516 N 5th St # 309, Philadelphia, PA 19122, United States;1516;n 5th st;19122;philadelphia;united states;+1 217-656-1717;https://units.marketing/;Jon Vogel (founder), Garrett Gillin (founder), Jon Vogel (founder), Garrett Gillin (founder), Jeffrey Thies (partner), Jeffrey Thies (partner), Mark Siracusa (operations director), Mark Siracusa (operations director), Mikayla Yoshida (marketing director), Mikayla Yoshida (marketing director), Gen Campaigins (lead);;;https://www.facebook.com/units.marketing;https://www.instagram.com/units.franchise.agency/;;;;;https://www.linkedin.com/company/unitsmarketing;;;24;5.0;meta_pixel, google_ads, tiktok_pixel, +1 more;;;;No;None;No;Marketing agency;Marketing agency
